TransactionID,Date,Quantity,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales,ProductID,CustomerID,StaffID
0,2023-01-01 00:00:00,2,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,Sunday,25.064608298859607,0,0,0
1,2023-01-01 01:00:00,1,South,Cash,False,Rainy,23.54949697205013,Average,Positive,33,In Store,Sunday,7.083069895947755,1,1,1
2,2023-01-01 02:00:00,5,North,Cash,True,Rainy,27.154342182681738,Excellent,Unknown,43,Phone Order,Sunday,33.68032050090291,2,2,2
3,2023-01-01 03:00:00,2,North,Cash,False,Cloudy,20.13748325275725,Poor,Positive,32,Online Order,Sunday,14.629646958492382,3,3,3
4,2023-01-01 04:00:00,1,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,Sunday,7.577727219906418,4,4,4
5,2023-01-01 05:00:00,2,West,Cash,True,Rainy,27.154342182681738,Poor,Neutral,30,Phone Order,Sunday,29.136312779909016,5,5,5
6,2023-01-01 06:00:00,3,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,Unknown,15,In Store,Sunday,48.34415626235603,6,6,6
7,2023-01-01 07:00:00,5,West,Online,False,Sunny,27.154342182681738,Average,Positive,16,Online Order,Sunday,64.74936421948141,7,7,7
8,2023-01-01 08:00:00,4,East,Cash,True,Rainy,27.154342182681738,Poor,Neutral,29,Phone Order,Sunday,69.74106395272946,8,8,8
9,2023-01-01 09:00:00,2,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,Sunday,39.737896802009,9,9,9
10,2023-01-01 10:00:00,3,South,Online,False,Cloudy,27.154342182681738,Good,Neutral,42,In Store,Sunday,51.90056831037102,10,10,10
11,2023-01-01 11:00:00,4,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,Sunday,61.69294242055755,11,11,11
12,2023-01-01 12:00:00,4,East,Online,True,Sunny,26.238704814462643,Poor,Positive,19,Online Order,Sunday,51.9495619662288,12,12,12
13,2023-01-01 13:00:00,2,East,Credit Card,False,Cloudy,30.805000537489896,Good,Negative,56,Phone Order,Sunday,23.46559215024125,13,13,13
14,2023-01-01 14:00:00,1,East,Cash,False,Cloudy,33.77427553069937,Good,Positive,36,Phone Order,Sunday,6.265885708168135,14,14,14
15,2023-01-01 15:00:00,2,West,Cash,True,Rainy,26.12060692404225,Good,Neutral,50,Phone Order,Sunday,21.981062451840728,15,15,15
16,2023-01-01 16:00:00,3,South,Credit Card,False,Rainy,22.86916056556096,Excellent,Negative,27,In Store,Sunday,55.956058655196045,16,16,16
17,2023-01-01 17:00:00,4,North,Cash,False,Rainy,27.75676896285379,Excellent,Positive,15,Phone Order,Sunday,68.48135779439318,17,17,17
18,2023-01-01 18:00:00,2,South,Credit Card,True,Cloudy,33.62125530589782,Poor,Positive,30,In Store,Sunday,16.481540950350617,18,18,18
19,2023-01-01 19:00:00,1,West,Cash,True,Rainy,32.06561621206551,Poor,Positive,55,Online Order,Sunday,11.999116770458238,19,19,19
20,2023-01-01 20:00:00,2,West,Online,False,Sunny,20.987447650447308,Poor,Positive,36,Phone Order,Sunday,34.50169607675634,20,20,20
21,2023-01-01 21:00:00,5,North,Cash,False,Rainy,30.38859200116373,Average,Unknown,46,In Store,Sunday,30.053841608914187,21,21,21
22,2023-01-01 22:00:00,1,West,Credit Card,True,Rainy,28.578462836884302,Good,Positive,30,Phone Order,Sunday,10.810888785029888,22,22,22
23,2023-01-01 23:00:00,3,East,Credit Card,True,Cloudy,33.61194764519638,Poor,Neutral,29,Phone Order,Sunday,53.33285565932764,23,23,23
24,2023-01-02 00:00:00,4,East,Online,False,Rainy,21.837221252754457,Good,Neutral,56,Online Order,Monday,44.23387185020742,24,24,24
25,2023-01-02 01:00:00,2,East,Credit Card,False,Cloudy,28.01054169806985,Excellent,Neutral,26,Phone Order,Monday,12.328439341943229,25,25,25
26,2023-01-02 02:00:00,1,East,Cash,False,Rainy,33.191940402678384,Good,Unknown,15,Online Order,Monday,13.138015527983772,26,26,26
27,2023-01-02 03:00:00,5,East,Cash,True,Sunny,26.150356801126144,Average,Unknown,31,Phone Order,Monday,89.63068711887215,27,27,27
28,2023-01-02 04:00:00,1,West,Online,False,Sunny,27.229923765993007,Average,Positive,55,Phone Order,Monday,13.854283144297396,28,28,28
29,2023-01-02 05:00:00,5,North,Credit Card,True,Cloudy,21.05691016500437,Good,Negative,42,Phone Order,Monday,41.970933116067386,29,29,29
30,2023-01-02 06:00:00,3,North,Online,True,Cloudy,24.172154606733663,Average,Positive,21,Phone Order,Monday,32.29078290618216,30,30,30
31,2023-01-02 07:00:00,4,East,Cash,True,Rainy,27.154342182681738,Average,Neutral,23,Phone Order,Monday,47.00740167091593,31,31,31
32,2023-01-02 08:00:00,3,West,Online,False,Rainy,34.1768367311733,Excellent,Positive,36,Phone Order,Monday,41.0669859219237,32,32,32
33,2023-01-02 09:00:00,2,South,Credit Card,False,Sunny,24.240010408117385,Poor,Negative,40,Online Order,Monday,32.78053077257839,33,33,33
34,2023-01-02 10:00:00,1,South,Online,False,Rainy,26.91303102904478,Average,Negative,26,Online Order,Monday,6.483104264609532,34,34,34
35,2023-01-02 11:00:00,5,West,Credit Card,True,Sunny,30.0695663534642,Poor,Positive,21,In Store,Monday,91.72390247631748,35,35,35
36,2023-01-02 12:00:00,5,East,Credit Card,False,Cloudy,27.154342182681738,Good,Positive,29,Phone Order,Monday,25.923227726205667,36,36,36
37,2023-01-02 13:00:00,1,North,Cash,True,Rainy,27.29663580712812,Good,Positive,52,Online Order,Monday,10.550785020113828,37,37,37
38,2023-01-02 14:00:00,1,West,Cash,True,Cloudy,31.078085592138613,Average,Negative,35,Phone Order,Monday,5.411304649589865,38,38,38
39,2023-01-02 15:00:00,2,South,Cash,True,Rainy,33.00282819540599,Good,Neutral,28,Phone Order,Monday,21.789226760358737,39,39,39
40,2023-01-02 16:00:00,3,South,Credit Card,True,Sunny,29.3938891199364,Excellent,Unknown,16,Online Order,Monday,38.66156694929957,40,40,40
41,2023-01-02 17:00:00,5,South,Online,True,Cloudy,30.035802729754217,Average,Neutral,22,Phone Order,Monday,63.37610399361338,41,41,41
42,2023-01-02 18:00:00,2,East,Credit Card,True,Cloudy,27.154342182681738,Average,Negative,59,Online Order,Monday,14.96885041084796,42,42,42
43,2023-01-02 19:00:00,3,South,Cash,False,Rainy,34.186647458695205,Average,Positive,20,Online Order,Monday,44.05832295430256,43,43,43
44,2023-01-02 20:00:00,2,West,Cash,True,Cloudy,21.98861116226724,Good,Positive,51,In Store,Monday,11.343353515140048,44,44,44
45,2023-01-02 21:00:00,5,West,Online,False,Sunny,27.154342182681738,Good,Negative,51,In Store,Monday,82.14301150993116,45,45,45
46,2023-01-02 22:00:00,1,South,Cash,True,Cloudy,23.972244826674785,Average,Positive,47,In Store,Monday,19.1996665099032,46,46,46
47,2023-01-02 23:00:00,1,West,Cash,False,Cloudy,34.00389715551877,Poor,Neutral,55,In Store,Monday,10.096532407266768,47,47,47
48,2023-01-03 00:00:00,3,South,Cash,False,Rainy,30.799393090542196,Good,Negative,20,Phone Order,Tuesday,38.27577217714493,48,48,48
49,2023-01-03 01:00:00,4,South,Online,False,Cloudy,31.30720569467553,Good,Negative,40,Phone Order,Tuesday,42.73461668352886,49,49,49
50,2023-01-03 02:00:00,3,North,Credit Card,False,Rainy,23.28588759589825,Average,Positive,53,In Store,Tuesday,15.301967563682698,50,50,50
51,2023-01-03 03:00:00,4,East,Cash,True,Rainy,26.64559964952741,Poor,Negative,55,Online Order,Tuesday,43.15247017370696,51,51,51
52,2023-01-03 04:00:00,2,East,Online,True,Cloudy,29.26719791883929,Average,Positive,51,Online Order,Tuesday,33.75160777784039,52,52,52
53,2023-01-03 05:00:00,2,North,Cash,True,Sunny,27.154342182681738,Good,Positive,28,Online Order,Tuesday,27.879665265504453,53,53,53
